"Date","Mercury","Lead","Location"
2013-11-01,420.9,239.6,"Lake"
2013-11-02,500.6,238.4,"Lake"
2013-11-03,327.8,284.2,"Lake"
2013-11-04,627.9,250.2,"Lake"
2013-11-05,430.4,326,"Lake"
2013-11-06,482.9,437.4,"Lake"
2013-11-07,458.2,309.9,"Lake"
2013-11-08,495.4,134.8,"Lake"
2013-11-09,NA,NA,"Lake"
2013-11-10,531.7,293.5,"Lake"
2013-11-11,447.9,534.3,"Lake"
2013-11-12,655.4,181,"Lake"
2013-11-13,NA,NA,"Lake"
2013-11-14,390.9,327.9,"Lake"
2013-11-15,531,335.3,"Lake"
2013-11-16,682.9,226.2,"Lake"
2013-11-17,NA,NA,"Lake"
2013-11-18,553,403.9,"Lake"
2013-11-19,615.6,170.1,"Lake"
2013-11-20,464.9,287.4,"Lake"
2013-11-21,NA,NA,"Lake"
2013-11-22,NA,NA,"Lake"
2013-11-23,502.9,491.7,"Lake"
2013-11-24,492.9,86.2,"Lake"
2013-11-25,373.3,243.2,"Lake"
2013-11-26,632.1,70.7,"Lake"
2013-11-27,NA,NA,"Lake"
2013-11-28,478.7,334.1,"Lake"
2013-11-29,NA,NA,"Lake"
2013-11-30,NA,NA,"Lake"
2013-12-01,NA,NA,"Lake"
2013-12-02,370.4,335.5,"Lake"
2013-12-03,585.7,184.7,"Lake"
2013-12-04,232.4,237.4,"Lake"
2013-12-05,397,294.2,"Lake"
2013-12-06,466.7,220.9,"Lake"
2013-12-07,440.4,332.3,"Lake"
2013-12-08,NA,NA,"Lake"
2013-12-09,512.9,255.8,"Lake"
2013-12-10,448.6,82.2,"Lake"
2013-12-11,NA,NA,"Lake"
2013-12-12,408.8,109.2,"Lake"
2013-12-13,NA,NA,"Lake"
2013-12-14,466.9,307.5,"Lake"
2013-12-15,NA,NA,"Lake"
2013-12-16,NA,NA,"Lake"
2013-12-17,572.9,279.4,"Lake"
2013-12-18,438.7,259.7,"Lake"
2013-12-19,434.5,228,"Lake"
2013-12-20,539.4,220.7,"Lake"
2013-12-21,469.1,205,"Lake"
2013-12-22,527.9,421.5,"Lake"
2013-12-23,NA,NA,"Lake"
2013-12-24,481.5,296.9,"Lake"
2013-12-25,455.6,325.2,"Lake"
2013-12-26,590.6,56.6,"Lake"
2013-12-27,376.4,199,"Lake"
2013-12-28,564.3,181.7,"Lake"
2013-12-29,413,310.7,"Lake"
2013-12-30,490.4,257.9,"Lake"
2013-12-31,555.2,257,"Lake"
2014-01-01,549.8,313.6,"Lake"
2014-01-02,490.4,241.3,"Lake"
2014-01-03,498,241.3,"Lake"
2014-01-04,377.7,346.9,"Lake"
2014-01-05,398.8,123,"Lake"
2014-01-06,570.4,321.8,"Lake"
2014-01-07,470.7,192.5,"Lake"
2014-01-08,490.5,169.6,"Lake"
2014-01-09,609.9,283.3,"Lake"
2014-01-10,NA,NA,"Lake"
2014-01-11,450,353.6,"Lake"
2014-01-12,NA,NA,"Lake"
2014-01-13,NA,NA,"Lake"
2014-01-14,395.7,272.6,"Lake"
2014-01-15,462.8,338.1,"Lake"
2014-01-16,425.5,421.6,"Lake"
2014-01-17,NA,NA,"Lake"
2014-01-18,530.4,183.5,"Lake"
2014-01-19,NA,NA,"Lake"
2014-01-20,569.1,245.9,"Lake"
2014-01-21,543.2,85.9,"Lake"
2014-01-22,631.5,323.7,"Lake"
2014-01-23,665.8,296.5,"Lake"
2014-01-24,593,210.7,"Lake"
2014-01-25,445.1,360.8,"Lake"
2014-01-26,326.9,142,"Lake"
2014-01-27,447.6,200.7,"Lake"
2014-01-28,523,316.2,"Lake"
2014-01-29,563.5,181.1,"Lake"
2014-01-30,457.9,266.6,"Lake"
2014-01-31,510.3,127.8,"Lake"
2014-02-01,NA,NA,"Lake"
2014-02-02,441,463.9,"Lake"
2014-02-03,527.3,391.5,"Lake"
2014-02-04,NA,NA,"Lake"
2014-02-05,422.7,227,"Lake"
2014-02-06,619.5,427.8,"Lake"
2014-02-07,509.9,331.1,"Lake"
2014-02-08,523.7,165.7,"Lake"
2014-02-09,367.9,254.3,"Lake"
2014-02-10,455.4,451.7,"Lake"
2014-02-11,452.1,324,"Lake"
2014-02-12,495,295.2,"Lake"
2014-02-13,626.1,394,"Lake"
2014-02-14,430.2,155.9,"Lake"
2014-02-15,569.4,385,"Lake"
2014-02-16,699.8,201.5,"Lake"
2014-02-17,NA,NA,"Lake"
2014-02-18,517.6,310.8,"Lake"
2014-02-19,620.3,414.4,"Lake"
2014-02-20,563.9,216.7,"Lake"
2014-02-21,556.2,138,"Lake"
2014-02-22,475.8,351,"Lake"
2014-02-23,NA,NA,"Lake"
2014-02-24,522.5,233.8,"Lake"
2014-02-25,NA,NA,"Lake"
2014-02-26,520.4,356.8,"Lake"
2014-02-27,585.9,257.2,"Lake"
2014-02-28,521.9,414.3,"Lake"
2014-03-01,573.5,249.3,"Lake"
2014-03-02,436,370.6,"Lake"
2014-03-03,491.3,297.5,"Lake"
2014-03-04,629.6,411.3,"Lake"
2014-03-05,528.3,385,"Lake"
2014-03-06,432.4,304.2,"Lake"
2014-03-07,610.9,261.6,"Lake"
2014-03-08,695.7,394.6,"Lake"
2014-03-09,NA,NA,"Lake"
2014-03-10,545.6,350,"Lake"
2014-03-11,294.3,132.3,"Lake"
2014-03-12,531.9,329.7,"Lake"
2014-03-13,467.2,201.1,"Lake"
2014-03-14,566.4,371.7,"Lake"
2014-03-15,520.9,460.8,"Lake"
2014-03-16,NA,NA,"Lake"
2014-03-17,543.1,393.4,"Lake"
2014-03-18,442.6,266.3,"Lake"
2014-03-19,523.5,161.8,"Lake"
2014-03-20,446.6,305.1,"Lake"
2014-03-21,640.4,353.9,"Lake"
2014-03-22,NA,NA,"Lake"
2014-03-23,527.9,275.6,"Lake"
2014-03-24,588.1,388.7,"Lake"
2014-03-25,NA,NA,"Lake"
2014-03-26,514.8,308.9,"Lake"
2014-03-27,NA,NA,"Lake"
2014-03-28,486.6,194.1,"Lake"
2014-03-29,482.4,336.8,"Lake"
2014-03-30,627,230.6,"Lake"
2014-03-31,389.4,62.8,"Lake"
2014-04-01,NA,NA,"Lake"
2014-04-02,450.5,488.6,"Lake"
2014-04-03,516.1,416.5,"Lake"
2014-04-04,495.4,253.1,"Lake"
2014-04-05,482.8,170.2,"Lake"
2014-04-06,588.6,261.8,"Lake"
2014-04-07,487.9,336.7,"Lake"
2014-04-08,550.2,285,"Lake"
2014-04-09,358,307.3,"Lake"
2014-04-10,NA,NA,"Lake"
2014-04-11,488.2,210.6,"Lake"
2014-04-12,NA,NA,"Lake"
2014-04-13,NA,NA,"Lake"
2014-04-14,624.5,459.5,"Lake"
2014-04-15,NA,NA,"Lake"
2014-04-16,438.6,254.8,"Lake"
2014-04-17,502.1,21.7,"Lake"
2014-04-18,649.5,249.6,"Lake"
2014-04-19,NA,NA,"Lake"
2014-04-20,489.3,261.3,"Lake"
2014-04-21,746.1,265.4,"Lake"
2014-04-22,532.7,370.2,"Lake"
2014-04-23,NA,NA,"Lake"
2014-04-24,623.4,417.6,"Lake"
2014-04-25,581.2,428,"Lake"
2014-04-26,616.6,310,"Lake"
2014-04-27,NA,NA,"Lake"
2014-04-28,750.7,497.7,"Lake"
2014-04-29,484.2,359.1,"Lake"
2014-04-30,696.3,285.8,"Lake"
2014-05-01,707.8,347,"Lake"
2014-05-02,NA,NA,"Lake"
2014-05-03,505.8,133.5,"Lake"
2014-05-04,647.2,363.6,"Lake"
2014-05-05,584.7,412.1,"Lake"
2014-05-06,NA,NA,"Lake"
2014-05-07,NA,NA,"Lake"
2014-05-08,495.6,317.7,"Lake"
2014-05-09,NA,NA,"Lake"
2014-05-10,528,312.1,"Lake"
2014-05-11,NA,NA,"Lake"
2014-05-12,593.1,162.4,"Lake"
2014-05-13,556.3,492.9,"Lake"
2014-05-14,540.7,334.8,"Lake"
2014-05-15,NA,NA,"Lake"
2014-05-16,839.1,376.4,"Lake"
2014-05-17,569.7,138.1,"Lake"
2014-05-18,495.7,280.3,"Lake"
2014-05-19,632.9,364.8,"Lake"
