"Month","relColArea","Label","growth_form","Exposure"
0,1,"T02_Q03_Acropora cerealis_ind 1","Corymbose","Lagoon"
12,1.80533298009697,"T02_Q03_Acropora cerealis_ind 1","Corymbose","Lagoon"
24,3.11782676641193,"T02_Q03_Acropora cerealis_ind 1","Corymbose","Lagoon"
0,1,"T04_Q08_Acropora nasuta_ind 1","Corymbose","Lagoon"
12,1.4982949725003,"T04_Q08_Acropora nasuta_ind 1","Corymbose","Lagoon"
24,2.94095766197615,"T04_Q08_Acropora nasuta_ind 1","Corymbose","Lagoon"
0,1,"T04_Q11_Acropora nasuta_ind 1","Corymbose","Lagoon"
12,1.13464134521177,"T04_Q11_Acropora nasuta_ind 1","Corymbose","Lagoon"
24,1.90519504505904,"T04_Q11_Acropora nasuta_ind 1","Corymbose","Lagoon"
0,1,"T05_Q15_Acropora muricata_ind 1","Branching","Lagoon"
12,1.00172674785678,"T05_Q15_Acropora muricata_ind 1","Branching","Lagoon"
24,1.06084376889498,"T05_Q15_Acropora muricata_ind 1","Branching","Lagoon"
0,1,"T05_Q23_Acropora millepora_ind 1","Corymbose","Lagoon"
12,1.35648525309082,"T05_Q23_Acropora millepora_ind 1","Corymbose","Lagoon"
24,1.90663800768621,"T05_Q23_Acropora millepora_ind 1","Corymbose","Lagoon"
0,1,"T05_Q28_Acropora cerealis_ind 1","Corymbose","Lagoon"
12,1.99109847501687,"T05_Q28_Acropora cerealis_ind 1","Corymbose","Lagoon"
24,2.71809682859053,"T05_Q28_Acropora cerealis_ind 1","Corymbose","Lagoon"
0,1,"T05_Q28_Acropora cerealis_ind 2","Corymbose","Lagoon"
12,1.72738977807542,"T05_Q28_Acropora cerealis_ind 2","Corymbose","Lagoon"
24,3.28048791214204,"T05_Q28_Acropora cerealis_ind 2","Corymbose","Lagoon"
0,1,"T06_Q01_Acropora cerealis_ind 1","Corymbose","Back reef"
12,2.18039192907328,"T06_Q01_Acropora cerealis_ind 1","Corymbose","Back reef"
24,2.81028398305234,"T06_Q01_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T06_Q01_Acropora cerealis_ind 2","Corymbose","Back reef"
12,1.66767871594185,"T06_Q01_Acropora cerealis_ind 2","Corymbose","Back reef"
24,2.551190055901,"T06_Q01_Acropora cerealis_ind 2","Corymbose","Back reef"
0,1,"T06_Q02_Acropora cerealis_ind 1","Corymbose","Back reef"
12,2.13161777671941,"T06_Q02_Acropora cerealis_ind 1","Corymbose","Back reef"
24,2.87662953092235,"T06_Q02_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T06_Q02_Acropora millepora_ind 1","Corymbose","Back reef"
12,2.86342105636109,"T06_Q02_Acropora millepora_ind 1","Corymbose","Back reef"
24,4.82688270059849,"T06_Q02_Acropora millepora_ind 1","Corymbose","Back reef"
0,1,"T06_Q03_Acropora cerealis_ind 1","Corymbose","Back reef"
12,2.69312256929934,"T06_Q03_Acropora cerealis_ind 1","Corymbose","Back reef"
24,4.46627195908287,"T06_Q03_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T06_Q04_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.52769290401745,"T06_Q04_Acropora cerealis_ind 1","Corymbose","Back reef"
24,2.59778528306918,"T06_Q04_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T06_Q06_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.55752575257718,"T06_Q06_Acropora cerealis_ind 1","Corymbose","Back reef"
24,3.04263406154876,"T06_Q06_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T06_Q11_Acropora loripes_ind 1","Corymbose","Back reef"
12,1.87605928997306,"T06_Q11_Acropora loripes_ind 1","Corymbose","Back reef"
24,2.04147613331728,"T06_Q11_Acropora loripes_ind 1","Corymbose","Back reef"
0,1,"T06_Q11_Acropora nasuta_ind 1","Corymbose","Back reef"
12,1.75804787124183,"T06_Q11_Acropora nasuta_ind 1","Corymbose","Back reef"
24,2.15733374184303,"T06_Q11_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T06_Q12_Acropora nasuta_ind 1","Corymbose","Back reef"
12,2.09303419629409,"T06_Q12_Acropora nasuta_ind 1","Corymbose","Back reef"
24,4.18176857561725,"T06_Q12_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T06_Q16_Acropora nasuta_ind 1","Corymbose","Back reef"
12,1.96298351118067,"T06_Q16_Acropora nasuta_ind 1","Corymbose","Back reef"
24,6.47181878778904,"T06_Q16_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T06_Q18_Acropora nasuta_ind 1","Corymbose","Back reef"
12,1.86285615552212,"T06_Q18_Acropora nasuta_ind 1","Corymbose","Back reef"
24,2.13171707159833,"T06_Q18_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T06_Q18_Acropora nasuta_ind 2","Corymbose","Back reef"
12,1.41553529839178,"T06_Q18_Acropora nasuta_ind 2","Corymbose","Back reef"
24,1.512694126097,"T06_Q18_Acropora nasuta_ind 2","Corymbose","Back reef"
0,1,"T07_Q11_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.46671584578793,"T07_Q11_Acropora cerealis_ind 1","Corymbose","Back reef"
24,3.38293865835232,"T07_Q11_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T07_Q15_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.4701415013594,"T07_Q15_Acropora cerealis_ind 1","Corymbose","Back reef"
24,3.43789116569998,"T07_Q15_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T07_Q16_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.35875053807715,"T07_Q16_Acropora cerealis_ind 1","Corymbose","Back reef"
24,2.50874425494028,"T07_Q16_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T07_Q18_Acropora cerealis_ind 1","Corymbose","Back reef"
12,3.17070381909028,"T07_Q18_Acropora cerealis_ind 1","Corymbose","Back reef"
24,5.2648266406674,"T07_Q18_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T07_Q18_Acropora muricata_ind 1","Corymbose","Back reef"
12,3.22211791979234,"T07_Q18_Acropora muricata_ind 1","Corymbose","Back reef"
24,5.78081249566733,"T07_Q18_Acropora muricata_ind 1","Corymbose","Back reef"
0,1,"T07_Q23_Acropora nasuta_ind 1","Corymbose","Back reef"
12,1.7740347016957,"T07_Q23_Acropora nasuta_ind 1","Corymbose","Back reef"
24,2.5878628880619,"T07_Q23_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T08_Q03_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.26178858372425,"T08_Q03_Acropora cerealis_ind 1","Corymbose","Back reef"
24,1.95780744764956,"T08_Q03_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T08_Q03_Acropora cerealis_ind 9","Corymbose","Back reef"
12,1.64984948666543,"T08_Q03_Acropora cerealis_ind 9","Corymbose","Back reef"
24,1.74695068369007,"T08_Q03_Acropora cerealis_ind 9","Corymbose","Back reef"
0,1,"T08_Q05_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.27192840115115,"T08_Q05_Acropora cerealis_ind 1","Corymbose","Back reef"
24,1.41572034553375,"T08_Q05_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T08_Q05_Acropora muricata_ind 1","Branching","Back reef"
12,2.18920400429662,"T08_Q05_Acropora muricata_ind 1","Branching","Back reef"
24,3.30381019033236,"T08_Q05_Acropora muricata_ind 1","Branching","Back reef"
0,1,"T08_Q05_Acropora nasuta_ind 1","Corymbose","Back reef"
12,2.19088161870271,"T08_Q05_Acropora nasuta_ind 1","Corymbose","Back reef"
24,2.71692297485223,"T08_Q05_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T08_Q05_Acropora nasuta_ind 2","Corymbose","Back reef"
12,1.81005598153358,"T08_Q05_Acropora nasuta_ind 2","Corymbose","Back reef"
24,2.1695203149437,"T08_Q05_Acropora nasuta_ind 2","Corymbose","Back reef"
0,1,"T08_Q20_Acropora cerealis_ind 1","Corymbose","Back reef"
12,2.05477841950208,"T08_Q20_Acropora cerealis_ind 1","Corymbose","Back reef"
24,2.22115705931788,"T08_Q20_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T08_Q20_Acropora cerealis_ind 2","Corymbose","Back reef"
12,3.37814599072181,"T08_Q20_Acropora cerealis_ind 2","Corymbose","Back reef"
24,4.01923288212662,"T08_Q20_Acropora cerealis_ind 2","Corymbose","Back reef"
0,1,"T08_Q20_Acropora millepora_ind 1","Corymbose","Back reef"
12,1.82460416184281,"T08_Q20_Acropora millepora_ind 1","Corymbose","Back reef"
24,2.04533331385871,"T08_Q20_Acropora millepora_ind 1","Corymbose","Back reef"
0,1,"T08_Q20_Acropora muricata_ind 1","Branching","Back reef"
12,2.49900345347708,"T08_Q20_Acropora muricata_ind 1","Branching","Back reef"
24,3.70538264865186,"T08_Q20_Acropora muricata_ind 1","Branching","Back reef"
0,1,"T08_Q20_Acropora nasuta_ind 1","Corymbose","Back reef"
12,1.48212178931255,"T08_Q20_Acropora nasuta_ind 1","Corymbose","Back reef"
24,1.81107985512668,"T08_Q20_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T08_Q21_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.37745615081452,"T08_Q21_Acropora cerealis_ind 1","Corymbose","Back reef"
24,1.61083942006256,"T08_Q21_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T08_Q21_Acropora cerealis_ind 2","Corymbose","Back reef"
12,1.71091815124281,"T08_Q21_Acropora cerealis_ind 2","Corymbose","Back reef"
24,2.11894961823328,"T08_Q21_Acropora cerealis_ind 2","Corymbose","Back reef"
0,1,"T08_Q23_Acropora millepora_ind 1","Corymbose","Back reef"
12,1.1029267169265,"T08_Q23_Acropora millepora_ind 1","Corymbose","Back reef"
24,1.15888832356161,"T08_Q23_Acropora millepora_ind 1","Corymbose","Back reef"
0,1,"T08_Q28_Acropora cerealis_ind 1","Corymbose","Back reef"
12,1.20086488102031,"T08_Q28_Acropora cerealis_ind 1","Corymbose","Back reef"
24,1.90258359737477,"T08_Q28_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T08_Q29_Acropora cerealis_ind 1","Corymbose","Back reef"
12,3.36386134680699,"T08_Q29_Acropora cerealis_ind 1","Corymbose","Back reef"
24,4.74970681387016,"T08_Q29_Acropora cerealis_ind 1","Corymbose","Back reef"
0,1,"T08_Q29_Acropora cerealis_ind 2","Corymbose","Back reef"
12,5.49202655996366,"T08_Q29_Acropora cerealis_ind 2","Corymbose","Back reef"
24,6.30231825044606,"T08_Q29_Acropora cerealis_ind 2","Corymbose","Back reef"
0,1,"T08_Q29_Acropora gemmifera_ind 1","Digitate","Back reef"
12,3.75613476673081,"T08_Q29_Acropora gemmifera_ind 1","Digitate","Back reef"
24,3.90466558926681,"T08_Q29_Acropora gemmifera_ind 1","Digitate","Back reef"
0,1,"T08_Q29_Acropora gemmifera_ind 2","Digitate","Back reef"
12,4.99653077698473,"T08_Q29_Acropora gemmifera_ind 2","Digitate","Back reef"
24,9.02372943914814,"T08_Q29_Acropora gemmifera_ind 2","Digitate","Back reef"
0,1,"T08_Q29_Acropora gemmifera_ind 3","Digitate","Back reef"
12,2.42725657412479,"T08_Q29_Acropora gemmifera_ind 3","Digitate","Back reef"
24,3.90771470604462,"T08_Q29_Acropora gemmifera_ind 3","Digitate","Back reef"
0,1,"T08_Q29_Acropora millepora_ind 1","Corymbose","Back reef"
12,2.01141848683828,"T08_Q29_Acropora millepora_ind 1","Corymbose","Back reef"
24,2.98909442069778,"T08_Q29_Acropora millepora_ind 1","Corymbose","Back reef"
0,1,"T08_Q29_Acropora nasuta_ind 1","Corymbose","Back reef"
12,2.62421168620959,"T08_Q29_Acropora nasuta_ind 1","Corymbose","Back reef"
24,2.877286347455,"T08_Q29_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T08_Q37_Acropora nasuta_ind 1","Corymbose","Back reef"
12,2.00948321470251,"T08_Q37_Acropora nasuta_ind 1","Corymbose","Back reef"
24,2.47763889957437,"T08_Q37_Acropora nasuta_ind 1","Corymbose","Back reef"
0,1,"T09_Q02_Acropora cerealis_ind 2","Corymbose","Lagoon"
12,2.95922543741009,"T09_Q02_Acropora cerealis_ind 2","Corymbose","Lagoon"
24,5.64654986604472,"T09_Q02_Acropora cerealis_ind 2","Corymbose","Lagoon"
0,1,"T09_Q04_Acropora cerealis_ind 1","Corymbose","Lagoon"
12,1.24085895687944,"T09_Q04_Acropora cerealis_ind 1","Corymbose","Lagoon"
24,1.87827329182029,"T09_Q04_Acropora cerealis_ind 1","Corymbose","Lagoon"
0,1,"T10_Q01_Acropora cerealis_ind 1","Corymbose","Semi_exposed"
12,2.04519798307763,"T10_Q01_Acropora cerealis_ind 1","Corymbose","Semi_exposed"
24,3.84937424530333,"T10_Q01_Acropora cerealis_ind 1","Corymbose","Semi_exposed"
0,1,"T10_Q01_Acropora gemmifera_ind 1","Digitate","Semi_exposed"
12,1.5269459073872,"T10_Q01_Acropora gemmifera_ind 1","Digitate","Semi_exposed"
24,2.85879677489549,"T10_Q01_Acropora gemmifera_ind 1","Digitate","Semi_exposed"
0,1,"T10_Q01_Acropora gemmifera_ind 2","Digitate","Semi_exposed"
12,3.5561436021475,"T10_Q01_Acropora gemmifera_ind 2","Digitate","Semi_exposed"
24,5.43081162859576,"T10_Q01_Acropora gemmifera_ind 2","Digitate","Semi_exposed"
0,1,"T10_Q01_Acropora gemmifera_ind 3","Digitate","Semi_exposed"
12,2.12182274941654,"T10_Q01_Acropora gemmifera_ind 3","Digitate","Semi_exposed"
24,4.07035638482003,"T10_Q01_Acropora gemmifera_ind 3","Digitate","Semi_exposed"
0,1,"T10_Q01_Acropora gemmifera_ind 4","Digitate","Semi_exposed"
12,1.9357048555401,"T10_Q01_Acropora gemmifera_ind 4","Digitate","Semi_exposed"
24,4.04952564490544,"T10_Q01_Acropora gemmifera_ind 4","Digitate","Semi_exposed"
0,1,"T10_Q01_Acropora gemmifera_ind 5","Digitate","Semi_exposed"
12,1.76953333745333,"T10_Q01_Acropora gemmifera_ind 5","Digitate","Semi_exposed"
24,3.11149316758248,"T10_Q01_Acropora gemmifera_ind 5","Digitate","Semi_exposed"
0,1,"T10_Q01_Acropora gemmifera_ind 7","Digitate","Semi_exposed"
12,2.08789671681174,"T10_Q01_Acropora gemmifera_ind 7","Digitate","Semi_exposed"
24,4.37909005541184,"T10_Q01_Acropora gemmifera_ind 7","Digitate","Semi_exposed"
0,1,"T10_Q01_Acropora hyacinthus_ind 1","Tabular","Semi_exposed"
12,4.20992653163769,"T10_Q01_Acropora hyacinthus_ind 1","Tabular","Semi_exposed"
24,15.3891749870869,"T10_Q01_Acropora hyacinthus_ind 1","Tabular","Semi_exposed"
0,1,"T10_Q01_Acropora hyacinthus_ind 10","Tabular","Semi_exposed"
12,2.17258055641811,"T10_Q01_Acropora hyacinthus_ind 10","Tabular","Semi_exposed"
24,2.9947512681457,"T10_Q01_Acropora hyacinthus_ind 10","Tabular","Semi_exposed"
0,1,"T10_Q01_Acropora hyacinthus_ind 11","Tabular","Semi_exposed"
12,5.48577726680605,"T10_Q01_Acropora hyacinthus_ind 11","Tabular","Semi_exposed"
