"Location","Density","Year","Merged_Status"
"Aldabra Atoll, Seychelles (2015/16)",20.6,2016,"Pre-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",8.3,2016,"Pre-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",14.2,2016,"Pre-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",11.5,2016,"Pre-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",7.7,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",8.3,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",7.9,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",7.7,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",5.5,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",29.9,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",21.4,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",24.1,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",22.3,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (2015/16)",16.6,2016,"Post-bleaching"
"Aldabra Atoll, Seychelles (1998/99)",4.5,2001,"Post-bleaching"
"Aldabra Atoll, Seychelles (1998/99)",8.2,2001,"Post-bleaching"
"Aldabra Atoll, Seychelles (1998/99)",6.7,2001,"Post-bleaching"
"Aldabra Atoll, Seychelles (1998/99)",7.6,2001,"Post-bleaching"
"Aldabra Atoll, Seychelles (1998/99)",4.1,2001,"Post-bleaching"
"Aldabra Atoll, Seychelles (1998/99)",3.7,2001,"Post-bleaching"
"Inner Islands, Seychelles (2016)",4.3,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",5.2,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",15,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",12.3,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",37.9,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",10.6,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",15.1,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",8.2,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",15,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",9.2,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",15.9,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",1.2,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",0,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",6.2,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",0.9,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",8.3,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",3.1,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",1,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",6.2,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",0.2,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",1.2,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",9.1,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",13,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",1.9,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",16.9,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",4.1,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",0.7,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",9.5,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",18.7,2011,"Pre-bleaching"
"Inner Islands, Seychelles (2016)",0.5,2017,"Post-bleaching"
"Inner Islands, Seychelles (2016)",0.3,2017,"Post-bleaching"
